,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,name
0,0.633,0.919,5,-6.208,0,0.0343,0.00596,0.273,0.43,0.805,147.97,audio_features,3XOKU8CKSiQsuQHD5vhzo5,https://api.spotify.com/v1/tracks/3XOKU8CKSiQsuQHD5vhzo5,https://api.spotify.com/v1/audio-analysis/3XOKU8CKSiQsuQHD5vhzo5,278387,4,She Works Out Too Much
1,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,audio_features,2Y0iGXY6m6immVb2ktbseM,https://api.spotify.com/v1/tracks/2Y0iGXY6m6immVb2ktbseM,https://api.spotify.com/v1/audio-analysis/2Y0iGXY6m6immVb2ktbseM,299960,4,Little Dark Age
2,0.645,0.938,11,-4.557,0,0.0391,0.0946,0.0226,0.159,0.495,140.886,audio_features,3td69vL9Py7Ai9wfXYnvji,https://api.spotify.com/v1/tracks/3td69vL9Py7Ai9wfXYnvji,https://api.spotify.com/v1/audio-analysis/3td69vL9Py7Ai9wfXYnvji,263880,4,When You Die
3,0.628,0.841,9,-4.583,1,0.0268,0.0285,0.00332,0.254,0.706,111.985,audio_features,0t4z0WaQomQqPONghWn8c2,https://api.spotify.com/v1/tracks/0t4z0WaQomQqPONghWn8c2,https://api.spotify.com/v1/audio-analysis/0t4z0WaQomQqPONghWn8c2,289853,4,Me and Michael
4,0.602,0.879,9,-5.283,0,0.0994,0.22,0.000236,0.107,0.733,174.11,audio_features,43rJQjd6zfyTP58TNI9JAi,https://api.spotify.com/v1/tracks/43rJQjd6zfyTP58TNI9JAi,https://api.spotify.com/v1/audio-analysis/43rJQjd6zfyTP58TNI9JAi,270013,4,TSLAMP
5,0.515,0.898,8,-6.682,1,0.0291,0.123,0.38,0.199,0.778,113.983,audio_features,54hdBH6z6hMBUpC9fAMs3s,https://api.spotify.com/v1/tracks/54hdBH6z6hMBUpC9fAMs3s,https://api.spotify.com/v1/audio-analysis/54hdBH6z6hMBUpC9fAMs3s,232173,4,James
6,0.667,0.782,7,-7.681,0,0.0318,0.0512,0.896,0.645,0.886,132.983,audio_features,5J2SAAtyfFXOsctaYiUuLO,https://api.spotify.com/v1/tracks/5J2SAAtyfFXOsctaYiUuLO,https://api.spotify.com/v1/audio-analysis/5J2SAAtyfFXOsctaYiUuLO,284547,3,Days That Got Away
7,0.576,0.94,8,-4.541,1,0.0445,0.00678,0.00066,0.308,0.667,128.017,audio_features,52pWggDlN5mVeX111i06PP,https://api.spotify.com/v1/tracks/52pWggDlN5mVeX111i06PP,https://api.spotify.com/v1/audio-analysis/52pWggDlN5mVeX111i06PP,260347,4,One Thing Left to Try
8,0.465,0.465,2,-7.792,1,0.0276,0.612,0.00639,0.223,0.242,140.001,audio_features,0fokoG1PTmfQr6HrBoKzo1,https://api.spotify.com/v1/tracks/0fokoG1PTmfQr6HrBoKzo1,https://api.spotify.com/v1/audio-analysis/0fokoG1PTmfQr6HrBoKzo1,210880,4,When You're Small
9,0.378,0.614,1,-8.941,0,0.0387,0.706,0.00766,0.129,0.481,175.926,audio_features,1s2oewEkFG9eF9Mq7MyvCV,https://api.spotify.com/v1/tracks/1s2oewEkFG9eF9Mq7MyvCV,https://api.spotify.com/v1/audio-analysis/1s2oewEkFG9eF9Mq7MyvCV,253360,4,Hand It Over
